Date,WL
2022-05-14,23.32284091
2022-05-15,23.23284091
2022-05-16,22.85727273
2022-05-17,22.48056818
2022-05-18,22.04579545
2022-05-19,21.58034091
2022-05-20,21.23875
2022-05-21,20.85977273
2022-05-22,20.54602273
2022-05-23,20.27534091
2022-05-24,19.95977273
2022-05-25,19.61715909
2022-05-26,19.3275
2022-05-27,19.27636364
2022-05-28,18.93261364
2022-05-29,18.81738636
2022-05-30,18.71068182
2022-05-31,18.60136364
2022-06-01,18.39204545
2022-06-02,18.21602273
2022-06-03,17.99443182
2022-06-04,17.85079545
2022-06-05,17.84397727
2022-06-06,17.71011364
2022-06-07,17.62613636
2022-06-08,17.37443182
2022-06-09,17.04715909
2022-06-10,16.65465909
2022-06-11,16.19602273
2022-06-12,15.61272727
2022-06-13,14.93454545
2022-06-14,14.30329545
2022-06-15,13.58238636
2022-06-16,12.81931818
2022-06-17,12.06931818
2022-06-18,11.41340909
2022-06-19,10.82170455
2022-06-20,10.32329545
2022-06-21,9.7575
2022-06-22,9.276590909
2022-06-23,8.858181818
2022-06-24,8.403863636
2022-06-25,7.864204545
2022-06-26,7.459659091
2022-06-27,7.334090909
2022-06-28,7.176477273
2022-06-29,6.914659091
2022-06-30,6.863522727
2022-07-01,6.714545455
2022-07-02,6.530340909
2022-07-03,6.170227273
2022-07-04,6.01625
2022-07-05,6.114659091
2022-07-06,6.322045455
2022-07-07,6.663977273
2022-07-08,6.821136364
2022-07-09,7.101704545
2022-07-10,7.122613636
2022-07-11,7.030113636
2022-07-12,6.915113636
2022-07-13,6.775681818
2022-07-14,6.76375
2022-07-15,6.7425
2022-07-16,6.658977273
2022-07-17,6.654318182
2022-07-18,6.527386364
2022-07-19,6.359545455
2022-07-20,6.323863636
2022-07-21,6.513295455
2022-07-22,6.690227273
2022-07-23,6.896931818
2022-07-24,7.750113636
2022-07-25,7.729204545
2022-07-26,7.982954545
2022-07-27,8.199204545
2022-07-28,8.351590909
2022-07-29,8.504431818
2022-07-30,8.539431818
2022-07-31,8.465909091
2022-08-01,8.327954545
2022-08-02,8.150454545
2022-08-03,7.963181818
2022-08-04,7.711136364
2022-08-05,7.537840909
2022-08-06,7.360227273
2022-08-07,7.072840909
2022-08-08,7.116818182
2022-08-09,7.399090909
2022-08-10,7.394545455
2022-08-11,7.195113636
2022-08-12,7.036136364
2022-08-13,7.220340909
2022-08-14,7.694772727
2022-08-15,8.002159091
2022-08-16,7.935
2022-08-17,7.766818182
2022-08-18,7.506136364
2022-08-19,7.195
2022-08-20,7.073522727
2022-08-21,6.996818182
2022-08-22,6.954204545
2022-08-23,6.78375
2022-08-24,6.550795455
2022-08-25,6.268863636
2022-08-26,5.873863636
2022-08-27,5.390568182
2022-08-28,5.094431818
2022-08-29,4.927159091
2022-08-30,4.985340909
2022-08-31,4.873068182
2022-09-01,5.04875
2022-09-02,5.149204545
2022-09-03,5.308181818
2022-09-04,5.442954545
2022-09-05,5.535113636
2022-09-06,5.601363636
2022-09-07,5.440795455
2022-09-08,5.226931818
2022-09-09,4.917840909
2022-09-10,4.696704545
2022-09-11,4.455681818
2022-09-12,4.184772727
